Hashtag	Count
#felizmartes	904
#somospatriaqueserespeta	638
#6sep	494
#veлezuela	162
#tropa	162
#travel	105
#a3mesesdelsecuestrodelavion	102
#cuidemoselplaneta	89
#buenosdias	72
#inamehinforma	59
#buenastardes	30
#buenmartes	29
#taldiacomohoy	25
#video	18
#cumana	15
#felizmartesatodos	14
#venezuela	11
#sucre	11
#comisiondeurbanismo	11
#anzoategui	11
#06sep	11
#6september2022	9
#ciudadgrc	7
#riasbaixas	6
#pontevedra	6
#compostlea	6
#caminoportugues	6
#bosdias	6
#ysitepropongo	5
#reporte	5
#ethereum	5
#dezurdateam	5
#codigosi	5
#buendia	5
#bitcoin	5
#bendiciones	5
#michielhuisman	4
#06sept	4
#tuiterospatria	3
#tuiterosactivos	3
#somospatriaqueserepeta	3
#guadalajara	3
#felizdia	3
#06septiembre	3
#voyalevantarespana	2
#sepaque	2
#chemtrails	2
#triana	1
#sevilla	1
#sabiasque	1
#ritmo	1
#recuerdo	1
#radio	1
#pop	1
#morelia	1
#michoacan	1
#macarena	1
#factor22	1
#dolor	1
#descubreliebana	1
#covid19	1
#buenosdiasatodos	1
#andaluciahoy	1
#andalucia	1
#ahtecreas	1
#6sept	1
