Loc	N. Tweets
desconocida	540
venezuela	43
venezuela. caracas. parroquia san agustín. entre cristo y arismendi.	41
maracay, venezuela	13
mérida r.b. de venezuela 	12
caracas, venezuela	11
maracaibo, venezuela	10
la guaira, venezuela	6
cumana, venezuela	6
santiago, chile	5
madrid, comunidad de madrid	5
guárico, venezuela	5
guanta edo anzoategui	5
centroamérica	5
san félix	4
nueva esparta, venezuela	4
méxico	4
colombia	4
barcelona, españa	4
anzoátegui 	4
madrid	3
lugo	3
los teques, venezuela	3
lara, venezuela	3
españa	3
el tigre, venezuela	3
ciudad de méxico 	3
ciudad de méxico	3
ciudad bolivar, venezuela	3
caracas venezuela	3
california, usa	3
aragua, venezuela	3
alcorcón, españa	3
táchira, venezuela	2
puerto rico.	2
porlamar	2
méxico-tenochtitlán 	2
méne mauroa 	2
montevideo, uruguay	2
madrid 	2
los teques	2
hurlingham-argentina	2
galicia, españa	2
cdmx	2
caracas	2
bogotá, colombia	2
argentina 	2
anzoátegui, venezuela	2
🇺🇦🇮🇹🇪🇸🇸🇪🇦🇷🇬🇧 🇪🇺	1
walking among the trees	1
vigo, pontevedra españa	1
venezuela en paz	1
valencia_ venezuela	1
valencia, venezuela	1
valencia, españa	1
uruguay	1
ureña, venezuela	1
universidad de a coruña	1
una galaxia muy muy lejana	1
trujillo, venezuela	1
trujillo	1
torrejón de ardoz	1
toledo canelones	1
sucre, miranda / república bol	1
strangeland	1
sevilla, andalucía miarma🥰	1
sevilla	1
santiago de león de caracas 	1
santa cruz (oleiros-a coruña) 	1
san juan de los morros	1
san francisco. estado zulia	1
salamanca, españa	1
quito - ecuador 	1
pompaelo	1
planeta tierra-gaia	1
planeta tierra	1
planet earth	1
palma de mallorca	1
oaxaca	1
nogales sonora mexico	1
n. l.  mx (no voté por samuel)	1
málaga , españa , europa 	1
muy en el fondo	1
mordor. 🚜	1
monterrey, nuevo león	1
mexico	1
metropolis	1
marche, italia	1
maracay . edo aragua	1
maracaibo- edo zulia venezuela	1
maracaibo	1
managua, nicaragua	1
madrid, españa	1
m(e)	1
lugo, españa	1
leprosario - argentina	1
lejano	1
las palmas de gran canaria	1
la delgada línea amarilla	1
jumping all over the world	1
jaén	1
jamundí	1
hermosillo, sonora, méxico	1
guaymas, sonora, méxico.	1
guarico	1
guadalajara, jalisco, méxico	1
grenade, espagne	1
granada, españa	1
getafe (madrid), españa	1
galicia, españa 	1
falcón, venezuela	1
estremaúra ۞ 	1
españa. spain. 	1
españa y el mundo	1
en utopía,en un país distópico	1
en un mundo injusto.	1
en trance	1
el prat de llobregat, españa	1
el ferrol del caudillo	1
donde pueda ser yo ✨	1
distrito federal, méxico	1
distrito federal	1
cosmopolitan	1
con el corazón en berlín	1
comunitat valenciana, españa	1
comunidad valenciana, españa	1
cojedes, venezuela	1
ciudadano del mundo	1
chile,sudamérica	1
chacao, venezuela	1
cerdanyola del vallès, españa	1
ccs	1
cazorla, venezuela	1
caracas - venezuela	1
cambados, galiza 	1
calabozo guárico	1
buenos aires, argentina	1
bucaramanga	1
bruxelles - madrid 	1
boyacá-colombia	1
bogotá, d.c., colombia	1
bogota	1
barquisimeto - venezuela 🇻🇪	1
barcelona, españa 🇪🇸	1
america latina	1
algún lugar con libros	1
alemania 	1
al fondo a la izquierda 	1
acapulco 🏖 méxico 🇲🇽	1
a coruña, galicia	1
-12.11, -76.98	1
#caracas, r.b venezuela 🇻🇪  	1
