Word	Count
buenos	1185
familias	1160
código	1140
votó	914
decir	815
nuevo	738
familia	651
pueblo	597
sociedad	593
éxito	582
familiar	577
diversidad	576
antonio	574
actual	574
necesidad	572
cubana	571
quepan	570
determina	570
coexiste	570
encuentro	554
ciudadanía	549
camboya	545
vote	544
txapote	544
sánchez	544
birmania	544
absoluto	544
siempre	469
español	454
monarquía	434
vida	396
buen	393
foto	387
franco	375
fascista	372
miedo	360
constitución	357
fueron	353
echar	349
ninguna	348
fruto	344
monarquías	343
implantadas	343
europeas	343
engaño	343
dictador	343
devolvió	343
borbones	343
título	338
pondrías	332
martes	325
mejor	295
gracias	290
septiembre	287
importa	277
nuestro	256
cuando	252
gran	249
hacer	241
posible	238
cumana	225
vez	224
años	209
poder	206
nuestra	206
legitimidad	206
democrática	206
carece	206
representa	200
realmente	199
iglesia	199
trabajo	197
detalles	197
suele	194
recibe	191
buenas	190
sigue	188
alcalde	188
cuál	187
feliz	183
amor	182
visto	180
república	180
nacional	177
nadie	175
público	171
partir	171
opinión	171
personas	169
canarias	168
miércoles	164
noticias	161
dios	161
país	160
pasa	157
especial	157
localidad	154
arte	154
junto	153
francesa	153
volcán	152
románico	152
loire	152
haute	152
francia	152
estampas	152
espectaculares	152
contemplar	152
auvergne	152
aiguilhe	152
amigos	150
líder	148
través	147
también	147
méxico	147
mente	142
psoe	138
equipo	138
crecimiento	138
venezuela	136
republicana	136
dejes	136
juntas	135
cargas	135
tantas	134
entienden	134
viven	133
traidores	133
imaginarias	133
estarías	133
desaciendote	133
corresponden	133
aliviad	133
javier	132
mundo	127
condiciones	127
tengan	125
demás	125
patria	124
pasado	124
información	124
bendiciones	121
próximas	120
meteorológicas	120
mayor	120
municipio	119
verdadero	118
corazón	118
tienes	117
otra	117
aunque	117
plataforma	116
llamarme	116
hecho	116
excelente	116
nueva	114
lado	114
importante	114
salud	113
principales	111
quiere	110
obra	109
sabes	108
recuerda	108
pérez	107
historia	107
reconocer	106
alumbrado	106
portada	105
cancamure	105
tema	104
simple	104
reside	104
poderes	104
órgano	103
soberanía	103
royo	103
positivo	103
monarca	103
emanan	103
pequeños	102
nada	102
capaz	102
señor	100
están	100
transforma	98
presidente	98
incomodidad	98
hashtag	98
felipe	97
plan	96
pagan	96
apreciada	96
mano	95
viene	94
seguimos	94
aplicación	94
habrá	93
alegría	92
bien	91
sienten	90
imagen	89
año	89
compromiso	88
tardes	87
mujer	87
cosas	87
servicio	86
nunca	86
empresa	86
seguir	85
informó	85
siga	84
semana	84
sector	84
rosetta	84
regresa	84
esperamos	84
cometa	84
verlo	83
