Loc	N. Tweets
desconocida	5490
lee aquí 👇🏼 el último tevda	561
méxico	321
cdmx	206
venezuela	196
españa	157
barcelona	123
caracas, venezuela	89
mexico	88
ciudad de méxico	80
cuba	75
madrid, comunidad de madrid	70
colombia	63
madrid	56
bogotá, d.c., colombia	52
venezuela. caracas. parroquia san agustín. entre cristo y arismendi.	46
puebla, méxico	42
panamá 🇵🇦	42
quito, ecuador	41
chile	37
caracas	35
aragua, venezuela	34
puebla	33
argentina	32
maracay, venezuela	31
santiago, chile	30
república española	29
ecuador	29
bogotá, colombia	29
valencia, españa	27
boca del río, veracruz de igna	27
trotamundos	26
sevilla, españa	24
distrito federal, méxico	24
comunidad de madrid, españa	24
puebla, mexico	23
apátrida	23
argentina 🇦🇷	22
venezuela 🇻🇪	21
los cabos, méxico	21
barcelona, españa	21
france	20
madrid, españa	19
burgos, españa	19
bogotá	19
coyoacán, distrito federal	18
perdida por el mundo	17
estado de méxico	17
california, usa	17
bucaramanga, colombia	17
méxico, df	16
monterrey, nuevo león	16
mexico city	16
caracas venezuela	16
vitoria, españa	15
mérida, yucatán	15
málaga, españa	15
maracaibo, venezuela	15
guadalajara, jalisco	15
dominican republic	15
sevilla	14
república española 	14
quito-ecuador	14
santiago de chile	13
mérida r.b. de venezuela 	13
miranda, venezuela	13
cumana, venezuela	13
ciudad de méxico 	13
caracas venezuela 	13
argentina🇦🇷	13
táchira, venezuela	12
nueva york, usa	12
méxico, d.f.	12
nueva esparta, venezuela	11
méxico 🇲🇽	11
buenos aires, argentina	11
❤️💛💜	10
zaragoza, españa	10
zaragoza	10
veracruz	10
méxico city	10
montevideo, uruguay	10
medellín, colombia	10
la habana, cuba	10
barquisimeto, venezuela	10
zona oriente de morelos	9
valencia	9
santiago	9
moon of my life,sun and stars	9
monterrey, n.l.	9
la habana	9
el salvador	9
combate rs.	9
cojedes, venezuela	9
ciudad de mexico	9
bogota	9
🇲🇽🇬🇹🇸🇻🇭🇳	8
zapopan, jalisco	8
yaracuy, venezuela	8
villavicencio, colombia🇨🇴	8
veracruz de ignacio de la llav	8
venezuela 🇻🇪 🇻🇪 🇻🇪 	8
toluca, méxico	8
méxico df	8
méxico d.f.	8
méxico 	8
mexico, me	8
la guaira, venezuela	8
la guaira	8
knightsbridge, ld	8
distrito capital, venezuela	8
colombia 	8
ciudad del libertador general 	8
ciudad autónoma de buenos aire	8
caraqueña venezuelan city	8
barinas, venezuela	8
alicante, españa	8
acapulco	8
日本　九州に生息　主に鹿児島	7
suunastella*inunastalla₩	7
república dominicana	7
queens, ny	7
planeta tierra	7
nicaragua	7
méxico 🇲🇽🌮	7
mérida, venezuela	7
manizales, caldas	7
guatemala	7
granada, españa	7
en la iii república	7
en algún lugar de un gran país	7
durango, méxico	7
cuauhtémoc, distrito federal	7
comunidad valenciana, españa	7
cantabria, españa	7
cantabria	7
barranquilla, colombia	7
argentina 🇦🇷♥️🇦🇷	7
xixón, asturies	6
venezuela 	6
trujillo, venezuela	6
tijuana, baja california	6
spain	6
santos, brasil 🇧🇷	6
santa cruz de tenerife	6
san diego, ca	6
rosario, argentina	6
república bolivariana de venez	6
república amorosa de méxico	6
qs hosp la luz, vdh y sur	6
panamá	6
pachuca de soto, hidalgo	6
maracay estado aragua	6
las palmas de gran canaria	6
la muy noble y leal ciudad de	6
kathmandu	6
jerez de la frontera, españa	6
gustavo a. madero, distrito fe	6
guayaquil, ecuador	6
guatemala 🇬🇹	6
guanare, venezuela	6
galicia, españa	6
fuerteventura	6
cuernavaca, morelos	6
cdmx 	6
cabimas, venezuela	6
bucaramanga	6
bilbao	6
argentina🇦🇷♥️🇦🇷	6
єη мι υηινєяsσ	5
xalapa	5
venezuela edo carabobo	5
valladolid, españa	5
valencia, venezuela	5
usa	5
tuxtla gtz. chiapas méxico	5
torreón, coahuila de zaragoza	5
tabasco	5
são paulo - sp  brasil	5
san fernando de apure, apure	5
república española 🔻	5
querétaro	5
méxico.	5
murcia, españa	5
mail: ailustrador@gmail.com	5
los teques, venezuela	5
león, guanajuato	5
las palmas de gran canaria, es	5
juárez, chihuahua	5
in elk universum	5
hermosillo, sonora	5
guárico, venezuela	5
guanta edo anzoategui	5
falcón, venezuela	5
cuchivero estado bolivar	5
centroamérica	5
catalunya	5
caracas- venezuela	5
caracas - venezuela	5
carabobo, venezuela	5
cali, colombia	5
buenos aires, argentina🇦🇷	5
buenos aires	5
baruta, estado miranda	5
aguascalientes, méxico	5
acapulco, guerrero, mexico	5
acapulco de juárez, guerrero	5
.	5
"un pò quì e un pò lì"	5
🔴🟡🟣🇪🇺🇪🇦	4
𝕌ℕ𝕀𝕋𝔼𝔻 𝕂𝕀ℕ𝔾𝔻𝕆𝕄 🇬🇧	4
üt: 10.222287,-67.995436	4
world	4
wanchaq, peru	4
viña del mar, chile	4
vigo	4
uruguay	4
universo	4
toledo, españa	4
taxco de alarcón, guerrero	4
tarragona, españa	4
santo domingo	4
san juan de los morros, ve	4
san félix	4
saltillo, coahuila de zaragoza	4
rusia	4
polska🇵🇱	4
peru	4
oviedo	4
nuevo león, méxico	4
nezahualcóyotl, méxico	4
mundo	4
monterrey, méxico	4
mexico df	4
marbella	4
madrid 	4
lugo, españa	4
las torres de cotillas, murcia	4
lara, venezuela	4
junto al camino, guadalajara	4
guatire	4
guadalajara	4
getafe, españa	4
galicia	4
florida, usa	4
en tus recuerdos	4
en la eterna primavera🌻	4
el tigre, venezuela	4
el mundo actual 	4
donostia	4
cumaná venezuela	4
cumaná	4
cuenca, ecuador	4
cuba 	4
costa rica	4
ciudad de ceuta, españa	4
caracas-venezuela	4
caracas ,venezuela	4
brasil	4
bogotá-colombia	4
bogota, colombia	4
barcelona, cataluña	4
av. rómulo gallegos, caracas 	4
argentina 	4
aquí y allá	4
