id tweet	date	author	text	app	id user	followers	following	stauses	location	urls	geolocation	name	description	relation	user retweeted	first HT	lang	created_at
1582750095019499520	2022-10-19 15:06:43	jramiroMX	12\n#FelizMiercoles https://t.co/2k3ETNfzng	Twitter Web App	296592711	188356	209256	525227	CDMX		None	CHILANGO	Que nadie manipule tu criterio, ¿como puedes evitarlo?, solo adquiriendo el buen hábito de estar bien informado, no existe otra forma	tweet		FelizMiercoles	und	2011-05-11 02:05:17
1582750125528875009	2022-10-19 15:06:50	carmen21463660	asi mismo, nubosidad fragmentada en areas del Tachira, Barinas, Lara, Yaracuy, este de Miranda, Anzoategui y Monagas; el resto del pais se aprecia zonas despejadas. #Reporte de las 04:40 HLV #FelizMiercoles	Twitter for Android	1582023931250282497	0	40	533			None	carmen		retweeted	INAMEH	Reporte	es	2022-10-17 15:01:30
1582750128498421760	2022-10-19 15:06:51	mariajosepascu3	#FelizMiercoles https://t.co/aIOrnAvAZX	Twitter for iPhone	587308440	825	918	105757			None	maria jose pascual		retweeted	AndaluciaSinVOX	FelizMiercoles	qme	2012-05-22 07:31:09
1582750138837372928	2022-10-19 15:06:53	nathagrullon1	!Buenos dias!\n#FelizMiercoles https://t.co/t1dGHbnAXx	Twitter Web App	1554130285800849410	27	48	989			None	Natha Grullon	Arquitecto Grullon. Da lo mejor de ti siempre.	retweeted	SaulGtrauma	FelizMiercoles	es	2022-08-01 15:41:58
1582750144381919232	2022-10-19 15:06:55	Ricardo63207717	@Sara_VA_ Que belleza! Sara... #FelizMiercoles Buenos dias https://t.co/uiyYLA3Oon	Twitter for Android	1022323066641305600	2882	5003	57586	Guadalajara, Jalisco		None	RICHIE ⚽ #soydepumas 💙👊// #halamadrid 🏈 Raiders	https://t.co/pzM5qE1BLS     54 🎂  💓🍀Que valga cada dia 🎲 🎩 #ADARLE 🥃 👊 🇲🇽  Hebreos 13: 5	replied_to	BlackMambaSuite	FelizMiercoles	es	2018-07-26 03:29:47
1582750152829243393	2022-10-19 15:06:57	Marcelo_Marchs	De hermanos incomodos \n\n@obititlan \n#FelizMiercoles https://t.co/eE8iIqcvRF	Twitter for Android	867067104264159233	94	161	18008			None	Marcelo	Un saludo y abrazo afectuoso a todas y todos mis seguidores 👋👋 que les vaya muy bien en todo lo que realizen 🙏🙏👼👼👼👍👍👍👍✌️😎	retweeted	BlackMambaSuite	FelizMiercoles	es	2017-05-23 17:18:01
1582750174815825920	2022-10-19 15:07:02	DeMisMichis	Y asi conoci a tu padre... \n#FelizMiercoles https://t.co/6uwRhW8LgH	Twitter for Android	3472522462	91	45	8847	En todo el mundo	['https://instagram.com/charvin_nomada']	None	MarvinLover🌈🌖	-RAP & MURGA. -Siento y luego esbribo -No BinariE -Lengua de Señas  -Literatura y michis ♥️ - La luna y tu culo 🌖 Colectivo: Rainbow Families Uruguay	retweeted	SoyHomosensual	FelizMiercoles	es	2015-08-28 19:06:35
1582750190662189056	2022-10-19 15:07:06	viruto75	" Javier Aroca @JavierArocaA: ""Los medios de comunicacion no estan ayudando a construir una democracia sana sino que estan torpedeando un Gobierno legitimo""\n\nVia: @_infoLibre\n#FelizMiercoles https://t.co/J0ZVBRDjMa"	Twitter for Android	830470355869380609	1163	491	355025	Torre Stark		None	Pascual		retweeted	MiercolesRepubl	FelizMiercoles	es	2017-02-11 17:35:37
1582750195925733377	2022-10-19 15:07:07	Mauroemf2	Agradece a todos los que te subestiman o no creen en ti, te estan ensenando a perfeccionarte, ser fuerte y estrategico.\n#FelizMiercoles 	Twitter Web App	1530160621127335937	113	101	14264	En todos los multiversos 💫		None	Mauro	Nuestra vida es un eterno presente...somos pasado y futuro juntos...somos lo que fuimos...y creamos lo que seremos...la vida es hoy ♥️😘☀️🤗🌟🌿	retweeted	Juanfra29442037	FelizMiercoles	es	2022-05-27 12:15:34
1582750209536569345	2022-10-19 15:07:10	gianiprofe21	Descarga la aplicacion #vePOS y comienza su configuracion desde la plataforma Patria para la sincronizacion de las billeteras de bolivares y petros.\n\nContando con dos modalidades: por medio del codigo QR o mensaje de texto. #19Oct #FelizMiercoles https://t.co/tKwmDGQMIr	Twitter for Android	1581053005452943360	32	43	1229	Venezuela		None	gianiprofe2	Hasta la Victoria Siempre con Chávez siempre	retweeted	SoyYuditha	vePOS	es	2022-10-14 22:43:26
