id tweet	date	author	text	app	id user	followers	following	tweets	location	urls	name	description	relation	user retweeted
1582750095019499520	2022-10-19 15:06:43	jramiroMX	12 #FelizMiercoles https://t.co/2k3ETNfzng	Twitter Web App	296592711	188356	209256	525227	CDMX		CHILANGO	Que nadie manipule tu criterio, ¿como puedes evitarlo?, solo adquiriendo el buen hábito de estar bien informado, no existe otra forma	tweet	
1582750125528875009	2022-10-19 15:06:50	carmen21463660	RT @INAMEH: así mismo, nubosidad fragmentada en áreas del Táchira, Barinas, Lara, Yaracuy, este de Miranda, Anzoátegui y Monagas; el resto…	Twitter for Android	1582023931250282497	0	40	533			carmen		retweeted	INAMEH
1582750128498421760	2022-10-19 15:06:51	mariajosepascu3	RT @AndaluciaSinVOX: #FelizMiercoles https://t.co/aIOrnAvAZX	Twitter for iPhone	587308440	825	918	105757			maria jose pascual		retweeted	AndaluciaSinVOX
1582750138837372928	2022-10-19 15:06:53	nathagrullon1	RT @SaulGtrauma: ¡Buenos días! #FelizMiercoles https://t.co/t1dGHbnAXx	Twitter Web App	1554130285800849410	27	48	989			Natha Grullon	Arquitecto Grullon. Da lo mejor de ti siempre.	retweeted	SaulGtrauma
1582750144381919232	2022-10-19 15:06:55	Ricardo63207717	@Sara_VA_ Que belleza! Sara... #FelizMiércoles Buenos dias https://t.co/uiyYLA3Oon	Twitter for Android	1022323066641305600	2882	5003	57586	Guadalajara, Jalisco		RICHIE ⚽ #soydepumas 💙👊// #halamadrid 🏈 Raiders	https://t.co/pzM5qE1BLS     54 🎂  💓🍀Que valga cada dia 🎲 🎩 #ADARLE 🥃 👊 🇲🇽  Hebreos 13: 5	replied_to	BlackMambaSuite
1582750152829243393	2022-10-19 15:06:57	Marcelo_Marchs	RT @BlackMambaSuite: De hermanos incómodos 👀👇🏻  @obititlan  #FelizMiercoles https://t.co/eE8iIqcvRF	Twitter for Android	867067104264159233	94	161	18008			Marcelo	Un saludo y abrazo afectuoso a todas y todos mis seguidores 👋👋 que les vaya muy bien en todo lo que realizen 🙏🙏👼👼👼👍👍👍👍✌️😎	retweeted	BlackMambaSuite
1582750174815825920	2022-10-19 15:07:02	DeMisMichis	RT @SoyHomosensual: Y así conocí a tu padre... 😍 #FelizMiércoles https://t.co/6uwRhW8LgH	Twitter for Android	3472522462	91	45	8847	En todo el mundo	['https://instagram.com/charvin_nomada']	MarvinLover🌈🌖	-RAP & MURGA. -Siento y luego esbribo -No BinariE -Lengua de Señas  -Literatura y michis ♥️ - La luna y tu culo 🌖 Colectivo: Rainbow Families Uruguay	retweeted	SoyHomosensual
1582750190662189056	2022-10-19 15:07:06	viruto75	"RT @MiercolesRepubl: 🎙 Javier Aroca @JavierArocaA: ""Los medios de comunicación no están ayudando a construir una democracia sana sino que e…"	Twitter for Android	830470355869380609	1163	491	355025	Torre Stark		Pascual		retweeted	MiercolesRepubl
1582750195925733377	2022-10-19 15:07:07	Mauroemf2	RT @Juanfra29442037: Agradece a todos los que te subestiman o no creen en ti, te están enseñando a perfeccionarte, ser fuerte y estratégico…	Twitter Web App	1530160621127335937	113	101	14264	En todos los multiversos 💫		Mauro	Nuestra vida es un eterno presente...somos pasado y futuro juntos...somos lo que fuimos...y creamos lo que seremos...la vida es hoy ♥️😘☀️🤗🌟🌿	retweeted	Juanfra29442037
1582750209536569345	2022-10-19 15:07:10	gianiprofe21	RT @SoyYuditha: 𝘿𝙚𝙨𝙘𝙖𝙧𝙜𝙖 𝙡𝙖 𝙖𝙥𝙡𝙞𝙘𝙖𝙘𝙞ó𝙣 #vePOS y comienza su configuración desde la plataforma Patria para la sincronización de las billeter…	Twitter for Android	1581053005452943360	32	43	1229	Venezuela		gianiprofe2	Hasta la Victoria Siempre con Chávez siempre	retweeted	SoyYuditha
